 wavelength,Qext,Qscat,Qabs,
 3.88000E-07, 2.56662E-01, 5.36665E-04, 2.56126E-01,
 3.89000E-07, 2.57219E-01, 5.34682E-04, 2.56684E-01,
 3.90000E-07, 2.57769E-01, 5.32742E-04, 2.57236E-01,
 3.91000E-07, 2.58297E-01, 5.30863E-04, 2.57766E-01,
 3.92000E-07, 2.58802E-01, 5.29037E-04, 2.58273E-01,
 3.93000E-07, 2.59285E-01, 5.27255E-04, 2.58757E-01,
 3.94000E-07, 2.59740E-01, 5.25514E-04, 2.59215E-01,
 3.95000E-07, 2.60168E-01, 5.23807E-04, 2.59644E-01,
 3.96000E-07, 2.60563E-01, 5.22129E-04, 2.60041E-01,
 3.97000E-07, 2.60923E-01, 5.20472E-04, 2.60403E-01,
 3.98000E-07, 2.61245E-01, 5.18828E-04, 2.60726E-01,
 3.99000E-07, 2.61525E-01, 5.17191E-04, 2.61008E-01,
 4.00000E-07, 2.61761E-01, 5.15552E-04, 2.61245E-01,
 4.01000E-07, 2.61948E-01, 5.13902E-04, 2.61434E-01,
 4.02000E-07, 2.62083E-01, 5.12232E-04, 2.61571E-01,
 4.03000E-07, 2.62164E-01, 5.10531E-04, 2.61653E-01,
 4.04000E-07, 2.62185E-01, 5.08790E-04, 2.61677E-01,
 4.05000E-07, 2.62145E-01, 5.06998E-04, 2.61638E-01,
 4.06000E-07, 2.62040E-01, 5.05143E-04, 2.61535E-01,
 4.07000E-07, 2.61868E-01, 5.03215E-04, 2.61365E-01,
 4.08000E-07, 2.61625E-01, 5.01200E-04, 2.61123E-01,
 4.09000E-07, 2.61309E-01, 4.99091E-04, 2.60810E-01,
 4.10000E-07, 2.60919E-01, 4.96873E-04, 2.60422E-01,
 4.11000E-07, 2.60454E-01, 4.94537E-04, 2.59959E-01,
 4.12000E-07, 2.59911E-01, 4.92070E-04, 2.59419E-01,
 4.13000E-07, 2.59292E-01, 4.89468E-04, 2.58803E-01,
 4.14000E-07, 2.58596E-01, 4.86715E-04, 2.58110E-01,
 4.15000E-07, 2.57826E-01, 4.83810E-04, 2.57343E-01,
 4.16000E-07, 2.56982E-01, 4.80739E-04, 2.56501E-01,
 4.17000E-07, 2.56068E-01, 4.77508E-04, 2.55591E-01,
 4.18000E-07, 2.55085E-01, 4.74096E-04, 2.54611E-01,
 4.19000E-07, 2.54045E-01, 4.70533E-04, 2.53574E-01,
 4.20000E-07, 2.52936E-01, 4.66763E-04, 2.52469E-01,
 4.21000E-07, 2.51765E-01, 4.62794E-04, 2.51303E-01,
 4.22000E-07, 2.50576E-01, 4.58747E-04, 2.50118E-01,
 4.23000E-07, 2.49330E-01, 4.54486E-04, 2.48876E-01,
 4.24000E-07, 2.48057E-01, 4.50084E-04, 2.47606E-01,
 4.25000E-07, 2.46757E-01, 4.45540E-04, 2.46312E-01,
 4.26000E-07, 2.45434E-01, 4.40839E-04, 2.44993E-01,
 4.27000E-07, 2.44104E-01, 4.36028E-04, 2.43668E-01,
 4.28000E-07, 2.42769E-01, 4.31099E-04, 2.42338E-01,
 4.29000E-07, 2.41439E-01, 4.26077E-04, 2.41013E-01,
 4.30000E-07, 2.40121E-01, 4.20969E-04, 2.39700E-01,
 4.31000E-07, 2.38819E-01, 4.15796E-04, 2.38403E-01,
 4.32000E-07, 2.37545E-01, 4.10567E-04, 2.37134E-01,
 4.33000E-07, 2.36290E-01, 4.05305E-04, 2.35885E-01,
 4.34000E-07, 2.35088E-01, 4.00011E-04, 2.34688E-01,
 4.35000E-07, 2.33943E-01, 3.94702E-04, 2.33549E-01,
 4.36000E-07, 2.32790E-01, 3.89417E-04, 2.32400E-01,
 4.37000E-07, 2.31701E-01, 3.84143E-04, 2.31317E-01,
 4.38000E-07, 2.30677E-01, 3.78889E-04, 2.30298E-01,
 4.39000E-07, 2.29694E-01, 3.73679E-04, 2.29320E-01,
 4.40000E-07, 2.28768E-01, 3.68515E-04, 2.28399E-01,
 4.41000E-07, 2.27892E-01, 3.63411E-04, 2.27529E-01,
 4.42000E-07, 2.27071E-01, 3.58369E-04, 2.26713E-01,
 4.43000E-07, 2.26303E-01, 3.53400E-04, 2.25949E-01,
 4.44000E-07, 2.25587E-01, 3.48507E-04, 2.25239E-01,
 4.45000E-07, 2.24923E-01, 3.43695E-04, 2.24579E-01,
 4.46000E-07, 2.24309E-01, 3.38967E-04, 2.23970E-01,
 4.47000E-07, 2.23744E-01, 3.34326E-04, 2.23409E-01,
 4.48000E-07, 2.23225E-01, 3.29774E-04, 2.22896E-01,
 4.49000E-07, 2.22752E-01, 3.25312E-04, 2.22426E-01,
 4.50000E-07, 2.22321E-01, 3.20939E-04, 2.22000E-01,
 4.51000E-07, 2.21931E-01, 3.16657E-04, 2.21614E-01,
 4.52000E-07, 2.21580E-01, 3.12464E-04, 2.21267E-01,
 4.53000E-07, 2.21264E-01, 3.08361E-04, 2.20956E-01,
 4.54000E-07, 2.20984E-01, 3.04344E-04, 2.20679E-01,
 4.55000E-07, 2.20734E-01, 3.00414E-04, 2.20434E-01,
 4.56000E-07, 2.20515E-01, 2.96566E-04, 2.20218E-01,
 4.57000E-07, 2.20323E-01, 2.92802E-04, 2.20030E-01,
 4.58000E-07, 2.20157E-01, 2.89116E-04, 2.19868E-01,
 4.59000E-07, 2.20014E-01, 2.85508E-04, 2.19729E-01,
 4.60000E-07, 2.19893E-01, 2.81976E-04, 2.19611E-01,
 4.61000E-07, 2.19793E-01, 2.78516E-04, 2.19514E-01,
 4.62000E-07, 2.19710E-01, 2.75126E-04, 2.19435E-01,
 4.63000E-07, 2.19645E-01, 2.71805E-04, 2.19373E-01,
 4.64000E-07, 2.19595E-01, 2.68549E-04, 2.19326E-01,
 4.65000E-07, 2.19558E-01, 2.65358E-04, 2.19293E-01,
 4.66000E-07, 2.19534E-01, 2.62227E-04, 2.19272E-01,
 4.67000E-07, 2.19522E-01, 2.59156E-04, 2.19263E-01,
 4.68000E-07, 2.19519E-01, 2.56141E-04, 2.19263E-01,
 4.69000E-07, 2.19526E-01, 2.53183E-04, 2.19273E-01,
 4.70000E-07, 2.19542E-01, 2.50277E-04, 2.19292E-01,
 4.71000E-07, 2.19565E-01, 2.47423E-04, 2.19317E-01,
 4.72000E-07, 2.19594E-01, 2.44619E-04, 2.19350E-01,
 4.73000E-07, 2.19630E-01, 2.41863E-04, 2.19388E-01,
 4.74000E-07, 2.19671E-01, 2.39154E-04, 2.19432E-01,
 4.75000E-07, 2.19716E-01, 2.36491E-04, 2.19480E-01,
 4.76000E-07, 2.19767E-01, 2.33871E-04, 2.19533E-01,
 4.77000E-07, 2.19820E-01, 2.31294E-04, 2.19589E-01,
 4.78000E-07, 2.19878E-01, 2.28760E-04, 2.19649E-01,
 4.79000E-07, 2.19939E-01, 2.26265E-04, 2.19712E-01,
 4.80000E-07, 2.20003E-01, 2.23811E-04, 2.19779E-01,
 4.81000E-07, 2.20070E-01, 2.21395E-04, 2.19848E-01,
 4.82000E-07, 2.20139E-01, 2.19017E-04, 2.19920E-01,
 4.83000E-07, 2.20212E-01, 2.16678E-04, 2.19996E-01,
 4.84000E-07, 2.20285E-01, 2.14371E-04, 2.20070E-01,
 4.85000E-07, 2.20361E-01, 2.12101E-04, 2.20149E-01,
 4.86000E-07, 2.20440E-01, 2.09868E-04, 2.20231E-01,
 4.87000E-07, 2.20522E-01, 2.07669E-04, 2.20314E-01,
 4.88000E-07, 2.20606E-01, 2.05504E-04, 2.20401E-01,
 4.89000E-07, 2.20693E-01, 2.03373E-04, 2.20490E-01,
 4.90000E-07, 2.20783E-01, 2.01275E-04, 2.20582E-01,
 4.91000E-07, 2.20876E-01, 1.99211E-04, 2.20677E-01,
 4.92000E-07, 2.20972E-01, 1.97179E-04, 2.20775E-01,
 4.93000E-07, 2.21072E-01, 1.95180E-04, 2.20877E-01,
 4.94000E-07, 2.21175E-01, 1.93212E-04, 2.20982E-01,
 4.95000E-07, 2.21283E-01, 1.91277E-04, 2.21092E-01,
 4.96000E-07, 2.21395E-01, 1.89374E-04, 2.21206E-01,
 4.97000E-07, 2.21512E-01, 1.87503E-04, 2.21324E-01,
 4.98000E-07, 2.21634E-01, 1.85663E-04, 2.21448E-01,
 4.99000E-07, 2.21761E-01, 1.83855E-04, 2.21577E-01,
 5.00000E-07, 2.21894E-01, 1.82079E-04, 2.21712E-01,
 5.01000E-07, 2.22034E-01, 1.80334E-04, 2.21853E-01,
 5.02000E-07, 2.22180E-01, 1.78620E-04, 2.22001E-01,
 5.03000E-07, 2.22333E-01, 1.76939E-04, 2.22156E-01,
 5.04000E-07, 2.22494E-01, 1.75289E-04, 2.22319E-01,
 5.05000E-07, 2.22663E-01, 1.73670E-04, 2.22489E-01,
 5.06000E-07, 2.22841E-01, 1.72083E-04, 2.22668E-01,
 5.07000E-07, 2.23027E-01, 1.70528E-04, 2.22857E-01,
 5.08000E-07, 2.23223E-01, 1.69004E-04, 2.23054E-01,
 5.09000E-07, 2.23429E-01, 1.67512E-04, 2.23261E-01,
 5.10000E-07, 2.23645E-01, 1.66052E-04, 2.23479E-01,
 5.11000E-07, 2.23873E-01, 1.64625E-04, 2.23708E-01,
 5.12000E-07, 2.24112E-01, 1.63229E-04, 2.23949E-01,
 5.13000E-07, 2.24364E-01, 1.61866E-04, 2.24202E-01,
 5.14000E-07, 2.24627E-01, 1.60535E-04, 2.24467E-01,
 5.15000E-07, 2.24905E-01, 1.59237E-04, 2.24746E-01,
 5.16000E-07, 2.25196E-01, 1.57971E-04, 2.25038E-01,
 5.17000E-07, 2.25501E-01, 1.56738E-04, 2.25344E-01,
 5.18000E-07, 2.25821E-01, 1.55538E-04, 2.25666E-01,
 5.19000E-07, 2.26157E-01, 1.54372E-04, 2.26002E-01,
 5.20000E-07, 2.26508E-01, 1.53238E-04, 2.26355E-01,
 5.21000E-07, 2.26877E-01, 1.52138E-04, 2.26724E-01,
 5.22000E-07, 2.27262E-01, 1.51072E-04, 2.27111E-01,
 5.23000E-07, 2.27665E-01, 1.50039E-04, 2.27515E-01,
 5.24000E-07, 2.28086E-01, 1.49041E-04, 2.27937E-01,
 5.25000E-07, 2.28526E-01, 1.48077E-04, 2.28378E-01,
 5.26000E-07, 2.28985E-01, 1.47147E-04, 2.28838E-01,
 5.27000E-07, 2.29464E-01, 1.46251E-04, 2.29318E-01,
 5.28000E-07, 2.29963E-01, 1.45391E-04, 2.29818E-01,
 5.29000E-07, 2.30484E-01, 1.44565E-04, 2.30339E-01,
 5.30000E-07, 2.31025E-01, 1.43774E-04, 2.30882E-01,
 5.31000E-07, 2.31589E-01, 1.43019E-04, 2.31446E-01,
 5.32000E-07, 2.32175E-01, 1.42300E-04, 2.32033E-01,
 5.33000E-07, 2.32785E-01, 1.41616E-04, 2.32643E-01,
 5.34000E-07, 2.33418E-01, 1.40969E-04, 2.33277E-01,
 5.35000E-07, 2.34075E-01, 1.40357E-04, 2.33934E-01,
 5.36000E-07, 2.34756E-01, 1.39782E-04, 2.34616E-01,
 5.37000E-07, 2.35462E-01, 1.39244E-04, 2.35323E-01,
 5.38000E-07, 2.36194E-01, 1.38743E-04, 2.36055E-01,
 5.39000E-07, 2.36952E-01, 1.38279E-04, 2.36813E-01,
 5.40000E-07, 2.37735E-01, 1.37853E-04, 2.37598E-01,
 5.41000E-07, 2.38546E-01, 1.37464E-04, 2.38409E-01,
 5.42000E-07, 2.39384E-01, 1.37113E-04, 2.39247E-01,
 5.43000E-07, 2.40249E-01, 1.36801E-04, 2.40112E-01,
 5.44000E-07, 2.41142E-01, 1.36527E-04, 2.41006E-01,
 5.45000E-07, 2.42064E-01, 1.36291E-04, 2.41928E-01,
 5.46000E-07, 2.43014E-01, 1.36095E-04, 2.42878E-01,
 5.47000E-07, 2.43993E-01, 1.35938E-04, 2.43857E-01,
 5.48000E-07, 2.45002E-01, 1.35821E-04, 2.44866E-01,
 5.49000E-07, 2.46040E-01, 1.35743E-04, 2.45904E-01,
 5.50000E-07, 2.47107E-01, 1.35705E-04, 2.46972E-01,
 5.51000E-07, 2.48205E-01, 1.35708E-04, 2.48069E-01,
 5.52000E-07, 2.49333E-01, 1.35752E-04, 2.49197E-01,
 5.53000E-07, 2.50491E-01, 1.35836E-04, 2.50356E-01,
 5.54000E-07, 2.51681E-01, 1.35961E-04, 2.51545E-01,
 5.55000E-07, 2.52900E-01, 1.36128E-04, 2.52764E-01,
 5.56000E-07, 2.54151E-01, 1.36336E-04, 2.54015E-01,
 5.57000E-07, 2.55433E-01, 1.36586E-04, 2.55296E-01,
 5.58000E-07, 2.56746E-01, 1.36879E-04, 2.56609E-01,
 5.59000E-07, 2.58089E-01, 1.37213E-04, 2.57952E-01,
 5.60000E-07, 2.59463E-01, 1.37590E-04, 2.59326E-01,
 5.61000E-07, 2.60869E-01, 1.38010E-04, 2.60731E-01,
 5.62000E-07, 2.62305E-01, 1.38473E-04, 2.62167E-01,
 5.63000E-07, 2.63772E-01, 1.38980E-04, 2.63633E-01,
 5.64000E-07, 2.65270E-01, 1.39529E-04, 2.65130E-01,
 5.65000E-07, 2.66798E-01, 1.40122E-04, 2.66658E-01,
 5.66000E-07, 2.68355E-01, 1.40759E-04, 2.68215E-01,
 5.67000E-07, 2.69943E-01, 1.41439E-04, 2.69801E-01,
 5.68000E-07, 2.71559E-01, 1.42163E-04, 2.71417E-01,
 5.69000E-07, 2.73205E-01, 1.42932E-04, 2.73062E-01,
 5.70000E-07, 2.74880E-01, 1.43744E-04, 2.74736E-01,
 5.71000E-07, 2.76582E-01, 1.44600E-04, 2.76437E-01,
 5.72000E-07, 2.78311E-01, 1.45501E-04, 2.78165E-01,
 5.73000E-07, 2.80067E-01, 1.46446E-04, 2.79921E-01,
 5.74000E-07, 2.81849E-01, 1.47434E-04, 2.81702E-01,
